Inspection_ID,Magistrate_ID,Date,Time,City,Latitude,Longitude,Commodity_Checked,Violation_Found,Fine_Amount,Fine_Status
INS-1000001,MAG-100,1/20/2026,11:02:00,LAHORE,31.530009,74.37931,Tomato,No,0,N/A
INS-1000002,MAG-100,1/20/2026,11:32:00,LAHORE,31.500596,74.381315,Tomato,Yes,20000,Paid
INS-1000003,MAG-100,1/20/2026,12:11:00,LAHORE,31.491408,74.406088,Tomato,No,0,N/A
INS-1000004,MAG-100,1/20/2026,12:50:00,LAHORE,31.485923,74.381185,Tomato,No,0,N/A
INS-1000005,MAG-100,1/20/2026,13:31:00,LAHORE,31.563039,74.394017,Tomato,No,0,N/A
INS-1000006,MAG-100,1/20/2026,14:09:00,LAHORE,31.555935,74.408686,Banana,No,0,N/A
INS-1000007,MAG-100,1/20/2026,14:26:00,LAHORE,31.567812,74.366396,Banana,Yes,2000,Paid
INS-1000008,MAG-101,1/20/2026,11:15:00,LAHORE,31.562289,74.352636,Banana,No,0,N/A
INS-1000009,MAG-101,1/20/2026,12:00:00,LAHORE,31.4921,74.397991,Banana,No,0,N/A
INS-1000010,MAG-101,1/20/2026,12:27:00,LAHORE,31.547948,74.371746,Banana,No,0,N/A
INS-1000011,MAG-101,1/20/2026,12:56:00,LAHORE,31.517463,74.332679,Potato,Yes,10000,Paid
INS-1000012,MAG-101,1/20/2026,13:36:00,LAHORE,31.527445,74.383561,Tomato,No,0,N/A
INS-1000013,MAG-101,1/20/2026,14:13:00,LAHORE,31.494024,74.310544,Potato,No,0,N/A
INS-1000014,MAG-101,1/20/2026,14:54:00,LAHORE,31.537867,74.334492,Onion,No,0,N/A
INS-1000015,MAG-101,1/20/2026,15:26:00,LAHORE,31.554627,74.35111,Banana,No,0,N/A
INS-1000016,MAG-101,1/20/2026,16:08:00,LAHORE,31.515171,74.356637,Tomato,No,0,N/A
INS-1000017,MAG-101,1/20/2026,16:50:00,LAHORE,31.551198,74.36561,Onion,No,0,N/A
INS-1000018,MAG-101,1/20/2026,17:24:00,LAHORE,31.509419,74.362672,Banana,No,0,N/A
INS-1000019,MAG-101,1/20/2026,18:09:00,LAHORE,31.553804,74.40391,Banana,No,0,N/A
INS-1000020,MAG-102,1/20/2026,8:39:00,LAHORE,31.553279,74.379452,Onion,No,0,N/A
INS-1000021,MAG-102,1/20/2026,9:21:00,LAHORE,31.487345,74.378007,Tomato,No,0,N/A
INS-1000022,MAG-102,1/20/2026,10:01:00,LAHORE,31.5685,74.317936,Onion,No,0,N/A
INS-1000023,MAG-102,1/20/2026,10:22:00,LAHORE,31.55779,74.391,Potato,No,0,N/A
INS-1000024,MAG-102,1/20/2026,10:45:00,LAHORE,31.509135,74.391522,Tomato,No,0,N/A
INS-1000025,MAG-103,1/20/2026,11:20:00,LAHORE,31.510468,74.400449,Banana,No,0,N/A
INS-1000026,MAG-103,1/20/2026,11:38:00,LAHORE,31.554773,74.405808,Tomato,No,0,N/A
INS-1000027,MAG-103,1/20/2026,11:56:00,LAHORE,31.543262,74.40395,Tomato,Yes,5000,Paid
INS-1000028,MAG-103,1/20/2026,12:14:00,LAHORE,31.485127,74.401138,Banana,No,0,N/A
INS-1000029,MAG-103,1/20/2026,12:40:00,LAHORE,31.5053,74.376473,Onion,Yes,5000,Unpaid
INS-1000030,MAG-103,1/20/2026,13:17:00,LAHORE,31.495347,74.364805,Potato,No,0,N/A
INS-1000031,MAG-104,1/20/2026,10:37:00,LAHORE,31.567971,74.350033,Tomato,No,0,N/A
INS-1000032,MAG-104,1/20/2026,10:58:00,LAHORE,31.47188,74.323071,Potato,No,0,N/A
INS-1000033,MAG-104,1/20/2026,11:33:00,LAHORE,31.560727,74.353688,Potato,No,0,N/A
INS-1000034,MAG-104,1/20/2026,12:13:00,LAHORE,31.486315,74.350589,Banana,No,0,N/A
INS-1000035,MAG-104,1/20/2026,12:41:00,LAHORE,31.534875,74.374089,Tomato,No,0,N/A
INS-1000036,MAG-104,1/20/2026,13:11:00,LAHORE,31.569636,74.376,Banana,No,0,N/A
INS-1000037,MAG-104,1/20/2026,13:36:00,LAHORE,31.511802,74.407564,Onion,No,0,N/A
INS-1000038,MAG-104,1/20/2026,14:07:00,LAHORE,31.498572,74.340169,Potato,No,0,N/A
INS-1000039,MAG-104,1/20/2026,14:35:00,LAHORE,31.514961,74.340829,Banana,No,0,N/A
INS-1000040,MAG-104,1/20/2026,15:12:00,LAHORE,31.536378,74.377876,Banana,Yes,2000,Paid
INS-1000041,MAG-105,1/20/2026,23:51:00,LAHORE,31.481975,74.359793,Banana,No,0,N/A
INS-1000042,MAG-105,1/21/2026,0:16:00,LAHORE,31.484533,74.372464,Banana,No,0,N/A
INS-1000043,MAG-105,1/21/2026,0:40:00,LAHORE,31.508163,74.319517,Onion,No,0,N/A
INS-1000044,MAG-105,1/21/2026,1:04:00,LAHORE,31.506084,74.32658,Potato,Yes,10000,Paid
INS-1000045,MAG-105,1/21/2026,1:48:00,LAHORE,31.486787,74.388358,Potato,No,0,N/A
INS-1000046,MAG-105,1/21/2026,2:06:00,LAHORE,31.478783,74.35511,Banana,No,0,N/A
INS-1000047,MAG-105,1/21/2026,2:35:00,LAHORE,31.496959,74.388302,Banana,No,0,N/A
INS-1000048,MAG-105,1/21/2026,3:15:00,LAHORE,31.564431,74.39001,Potato,No,0,N/A
INS-1000049,MAG-105,1/21/2026,3:32:00,LAHORE,31.472288,74.344487,Potato,No,0,N/A
INS-1000050,MAG-106,1/20/2026,9:26:00,LAHORE,31.47217,74.407319,Potato,No,0,N/A
INS-1000051,MAG-106,1/20/2026,9:43:00,LAHORE,31.501641,74.364335,Tomato,Yes,10000,Paid
INS-1000052,MAG-106,1/20/2026,10:15:00,LAHORE,31.508333,74.341012,Tomato,No,0,N/A
INS-1000053,MAG-106,1/20/2026,10:30:00,LAHORE,31.497418,74.38082,Banana,No,0,N/A
INS-1000054,MAG-106,1/20/2026,11:08:00,LAHORE,31.554889,74.385113,Onion,No,0,N/A
INS-1000055,MAG-106,1/20/2026,11:32:00,LAHORE,31.540087,74.313067,Potato,No,0,N/A
INS-1000056,MAG-107,1/20/2026,11:16:00,LAHORE,31.564836,74.314986,Tomato,No,0,N/A
INS-1000057,MAG-107,1/20/2026,11:31:00,LAHORE,31.491868,74.394759,Tomato,No,0,N/A
INS-1000058,MAG-107,1/20/2026,11:55:00,LAHORE,31.547729,74.391523,Onion,No,0,N/A
INS-1000059,MAG-107,1/20/2026,12:12:00,LAHORE,31.558465,74.37485,Onion,No,0,N/A
INS-1000060,MAG-107,1/20/2026,12:40:00,LAHORE,31.532245,74.337116,Banana,No,0,N/A
INS-1000061,MAG-107,1/20/2026,13:06:00,LAHORE,31.4927,74.324602,Onion,No,0,N/A
INS-1000062,MAG-107,1/20/2026,13:25:00,LAHORE,31.558629,74.326904,Tomato,No,0,N/A
INS-1000063,MAG-107,1/20/2026,14:01:00,LAHORE,31.487416,74.336249,Onion,No,0,N/A
INS-1000064,MAG-107,1/20/2026,14:44:00,LAHORE,31.496935,74.403946,Banana,No,0,N/A
